Ref,Val,Package,PosX,PosY,Rot,Side
"J6","Pi Zero 2 WH","PinSocket_2x20_P2.54mm_Vertical",16.370000,-40.770000,-90.000000,bottom
"J1","5V IN","TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal",39.960000,-8.000000,0.000000,top
"J2","GPIO18","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",77.000000,-11.500000,-90.000000,top
"J3","GPIO21","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",77.000000,-25.500000,-90.000000,top
"J4","GPIO13","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",77.000000,-39.500000,-90.000000,top
"J5","GPIO10","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",77.000000,-53.500000,-90.000000,top
"J7","PWR","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",5.500000,-11.500000,-90.000000,top
"J8","PWR","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",5.500000,-25.500000,-90.000000,top
"J9","PWR","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",5.500000,-39.500000,-90.000000,top
"J10","PWR","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",5.500000,-53.500000,-90.000000,top
